Submission No,Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
1850,Imaging-transcriptomics model of intracortical development during youth,Casey Paquola,,20210624,0,20210624,10000,poster1850,AmericasAsia,Poster,,poster1850AmericasAsia
1850,Imaging-transcriptomics model of intracortical development during youth,Casey Paquola,,20210622,80000,20210622,100000,poster1850,EuropeAsia,Poster,,poster1850EuropeAsia
1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,Ayan Mandal,,20210621,160000,20210621,170000,poster1100,AmericasEurope,Poster,,poster1100AmericasEurope
1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,Ayan Mandal,,20210623,0,20210623,10000,poster1100,AmericasAsia,Poster,,poster1100AmericasAsia
1100,Lesion covariance networks reveal proposed origins and pathways of glioma tumors,Ayan Mandal,,20210624,80000,20210624,100000,poster1100,EuropeAsia,Poster,,poster1100EuropeAsia
2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,Steven Jillings,,20210621,160000,20210621,170000,poster2128,AmericasEurope,Poster,,poster2128AmericasEurope
2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,Steven Jillings,,20210623,0,20210623,10000,poster2128,AmericasAsia,Poster,,poster2128AmericasAsia
2128,Long-term spaceflight induces differentially sustainable and reversible functional effects,Steven Jillings,,20210624,80000,20210624,100000,poster2128,EuropeAsia,Poster,,poster2128EuropeAsia
2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,Max Owens,,20210622,160000,20210622,170000,poster2251,AmericasEurope,Poster,,poster2251AmericasEurope
2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,Max Owens,,20210626,0,20210626,10000,poster2251,AmericasAsia,Poster,,poster2251AmericasAsia
2251,Machine Learning Predictions of Delayed Reward Discounting 1-year in the Future,Max Owens,,20210624,80000,20210624,100000,poster2251,EuropeAsia,Poster,,poster2251EuropeAsia
1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,Erica Baller,,20210624,160000,20210624,170000,poster1642,AmericasEurope,Poster,,poster1642AmericasEurope
1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,Erica Baller,,20210624,0,20210624,10000,poster1642,AmericasAsia,Poster,,poster1642AmericasAsia
1642,Mapping the Coupling of Cerebral Blood Flow-Amplitude of Low Frequency Oscillations in Youth,Erica Baller,,20210622,80000,20210622,100000,poster1642,EuropeAsia,Poster,,poster1642EuropeAsia
2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,Andre Altmann,,20210624,160000,20210624,170000,poster2191,AmericasEurope,Poster,,poster2191AmericasEurope
2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,Andre Altmann,,20210624,0,20210624,10000,poster2191,AmericasAsia,Poster,,poster2191AmericasAsia
2191,Meta Partial Least Squares for Large Scale Applications in Imaging Genetics,Andre Altmann,,20210622,80000,20210622,100000,poster2191,EuropeAsia,Poster,,poster2191EuropeAsia
1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,Cheng Chen,,20210624,160000,20210624,170000,poster1862,AmericasEurope,Poster,,poster1862AmericasEurope
1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,Cheng Chen,,20210624,0,20210624,10000,poster1862,AmericasAsia,Poster,,poster1862AmericasAsia
1862,Network Occlusion Sensitivity Analysis reveals Brain Regions related to Aging,Cheng Chen,,20210622,80000,20210622,100000,poster1862,EuropeAsia,Poster,,poster1862EuropeAsia
