Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
"Changes in GABA, neuroplasticity and learning",Charlotte Stagg,,20210601,174404,20210601,181457,mrs,AmericasEurope,CourseVideo,7525386e-bd82-11eb-9d54-1e00b921e125,
"GABA, pharmacology, and psychiatric and neurological disorders",Nicolaas Puts,,20210601,181457,20210601,184119,mrs,AmericasEurope,CourseVideo,7525886e-bd82-11eb-9688-1e00b921e125,
MRS course: interactive session,Neuroanatomy team,,20210601,190000,20210601,200000,mrs,AmericasEurope,Roundtables,7525d8b4-bd82-11eb-a02a-1e00b921e125,
NetNeuro course II: welcome AmericasAsia,Thomas Nichols,,20210602,3000,20210602,4000,netneuro,AmericasAsia,Announcements,752628d2-bd82-11eb-a8b4-1e00b921e125,
Communication in brain networks,Misic Bratislav,,20210602,4000,20210602,11219,netneuro,AmericasAsia,CourseVideo,752678be-bd82-11eb-bc29-1e00b921e125,
Modules in structural and functional brain networks,Rick Betzel,,20210602,11219,20210602,20406,netneuro,AmericasAsia,CourseVideo,7526c906-bd82-11eb-bf13-1e00b921e125,
Multilayer networks in neuroscience,Ann Belvin-Sizemore,,20210602,20406,20210602,22912,netneuro,AmericasAsia,CourseVideo,752718c8-bd82-11eb-a88d-1e00b921e125,
Multi-modal connectomics: combining micro- and macro- connectome data,Martijn van den Heuvel,,20210602,24000,20210602,32404,netneuro,AmericasAsia,CourseVideo,752768dc-bd82-11eb-b083-1e00b921e125,
The Virtual Brain simulation platform: Inferring principles of network interactions underlying cognition,Petra Ritter,,20210602,32404,20210602,35348,netneuro,AmericasAsia,CourseVideo,7527b8be-bd82-11eb-b9e8-1e00b921e125,
NetNeuro course II: interactive session,NetNeuro team,,20210602,40000,20210602,50000,netneuro,AmericasAsia,Roundtables,752808d2-bd82-11eb-9c31-1e00b921e125,
NetNeuro course II: welcome AmericasEurope,Thomas Nichols,,20210601,163000,20210601,164000,netneuro,AmericasEurope,Announcements,75285990-bd82-11eb-88a0-1e00b921e125,
Communication in brain networks,Misic Bratislav,,20210601,164000,20210601,171219,netneuro,AmericasEurope,CourseVideo,7528aaa8-bd82-11eb-a1bb-1e00b921e125,
Modules in structural and functional brain networks,Rick Betzel,,20210601,171219,20210601,180406,netneuro,AmericasEurope,CourseVideo,7528fb70-bd82-11eb-87d8-1e00b921e125,
Multilayer networks in neuroscience,Ann Belvin-Sizemore,,20210601,180406,20210601,182912,netneuro,AmericasEurope,CourseVideo,75295a28-bd82-11eb-90ca-1e00b921e125,
Multi-modal connectomics: combining micro- and macro- connectome data,Martijn van den Heuvel,,20210601,184000,20210601,192404,netneuro,AmericasEurope,CourseVideo,7529b934-bd82-11eb-b4db-1e00b921e125,
