location,name,description,start,duration,eventId
posterhall,Language,Posters,1624341600,120,Y9SZ9I2kPSRlV7776UPS
posterhall,Modeling and Analysis - Activation,Posters,1624341600,120,
posterhall,Neuroinformatics and Data Sharing,Posters,1624341600,120,
posterhall,Neuroanatomy,Posters,1624341600,120,
posterhall,"Physiology, Metabolism and Neurotransmission",Posters,1624341600,120,
posterhall,Lifespan Development,Posters,1624341600,120,
posterhall,Disorders of the Nervous System - Psychiatric,Posters,1624341600,120,
posterhall,Genetics,Posters,1624341600,120,
posterhall,Higher Cognitive Functions,Posters,1624514400,120,
posterhall,Learning and Memory,Posters,1624514400,120,
posterhall,"Sleep, Consciousness, Pain",Posters,1624514400,120,
posterhall,Modeling and Analysis - Multivariate Approaches,Posters,1624514400,120,
posterhall,Modeling and Analysis - Connectivity,Posters,1624514400,120,
posterhall,Software Demonstrations,Posters,1624514400,120,
posterhall,Disorders of the Nervous System - Neurodevelopmental/Early Life,Posters,1624514400,120,
posterhall,Disorders of the Nervous System - Neurodegenerative/Late Life,Posters,1624514400,120,
posterhall,Novel Imaging Acquisition Methods,Posters,1624514400,120,sdhnO59rnwXVBJgA904J
posterhall,Brain Stimulation,Posters,1624514400,120,Pv7s3JsnvghheZg8BVvd
symposiumhall1,Philips Symposium,Sponsored Symposia,1624359600,60,
symposiumhall1,Philips Symposium,Sponsored Symposia,1624388400,60,
symposiumhall1,Siemens Symposium,Sponsored Symposia,1624464000,60,
symposiumhall1,Siemens Symposium,Sponsored Symposia,1624492800,60,
loungetables,Welcome reception,Social,1624291200,120,nCmQ23qoJDq4tbJHvF7W
loungetables,Welcome reception,Social,1624320000,120,xqFM9vXKaNDmqyej5uGS
clubohbm,Club Night,Social,1624550400,120,qBcmlFrkYLengpm5Ktum
clubohbm,Club Night,Social,1624579200,120,FzfaZuN7sInePtecVUNs
loungetables,Student/Postdoc SIG Party,Social,1624377600,120,Tmj5F4mtjVNLOBrGPixI
loungetables,Student/Postdoc SIG Party,Social,1624406400,120,PiEVS1EEdIOwsLpA4Xk4
mainauditorium,Closing Session,Announcements,1624633200,60,4ftv7hoLwTnz5hMlQV93
mainauditorium,Closing Session,Announcements,1624662000,60,DMstBDu0gMdlxCdFwaoa
mainauditorium,Announcements,"Announcements, Glass Brain Award",1624276800,10,S6KGvLWqkqiRJvjIYESu
mainauditorium,Announcements,"Announcements, Glass Brain Award, Fellows",1624564800,10,ki1MwVtpsWjaeJdXtZ6J
mainauditorium,Announcements,"Announcements, Early Career Investigator Award",1624305600,10,tsLtuDi9BioDhlIprBoh
mainauditorium,Announcements,"Announcements, Early Career Investigator Award, Fellows",1624449600,10,uWNybJcOsLXK7V8qOq92
mainauditorium,Announcements,"Announcements, Open Science Award, Education in Neuroimaging Award",1624363200,10,QLVcolaVNFdKd7w5v9ig
mainauditorium,Announcements,"Announcements, Open Science Award, Education in Neuroimaging Award",1624478400,10,sjxEaiLd7pzVwc4vO02G
mainauditorium,Announcements,"Announcements, Mentor Award, Diversity Award, Replication Award",1624536000,10,jS2rV1JhNcMe1sYrS4tP
mainauditorium,Announcements,"Announcements, Mentor Award, Diversity Award, Replication Award",1624392000,10,4qAcTnq8d5zbY4fs8n7w
mainauditorium,Announcements,"Announcements, New OHBM Leadership",1624622400,10,Guy1cPSCCVbeatZfVDJ2
mainauditorium,Announcements,"Announcements, New OHBM Leadership",1624651200,10,1DLJ7soJTLpHw3UTILF0
symposiumhall1,"Transitioning from academia to industry: Why, when, how and where?","Roundtable, Student and Postdoc SIG Workshop 1, Speaker: Bimal Lakhani",1624287600,60,FYlUQVM20ULz5rTT5SZ8
symposiumhall3,"Neuroimaging best practices beyond open science: Ethics, collaborations and high quality research","Roundtable, Student and Postdoc SIG Workshop 2, Speaker: Satra Ghosh",1624287600,60,
symposiumhall2,Glass Brain Interview,Roundtable,1624287600,60,rXkwuPzbAayez5FaJ46M
loungetables,Open Disucssions,Roundtable,1624287600,60,
symposiumhall1,Chinese Young Scholars,Roundtable,1624402800,60,
symposiumhall2,Diversity Roundtable,Roundtable,1624316400,60,UbUI6bY7bpu0MRrK6qMe
symposiumhall3,Kidz Live Review - Korean,"Roundtable, Speaker: Soohyun Kim, Moderator: Diversity and Inclusivity Committee",1624316400,60,
loungetables,Open Disucssions,Roundtable,1624316400,60,
symposiumhall1,Getting the incentives right: Rethinking how we define academic success,"Roundtable, Student and Postdoc SIG Workshop 3, Speaker: Cooper Smout",1624316400,60,7v17xJJXXMitq0O3C8nA
symposiumhall4,Navigating academic careers: What are our options and how can we reach our goals?,"Roundtable, Student and Postdoc SIG Workshop 4, Speaker: Mariam Aly",1624316400,60,
symposiumhall2,Faliure Five Ways Roundtable,Roundtable,1624374000,60,rMtjHbwWuVD3rh93gvkp
symposiumhall3,OHBM Leadership Open House,Roundtable,1624374000,60,avSqgzzGiliVUaxjl4cB
loungetables,Open Disucssions,Roundtable,1624374000,60,
symposiumhall1,Aperture & Open Science Roundtable,Roundtable,1624402800,60,Q1MXEN7uNDlyODOpuTpy
loungetables,Open Disucssions,Roundtable,1624402800,60,
symposiumhall1,Kidz Live Review - French,"Roundtable, Speaker: Anaïs Llorens, Moderator: Diversity and Inclusivity Committee",1624460400,60,
symposiumhall2,Kidz Live Review - Italian,"Roundtable, Speaker: Antea D'Andrea, Moderator: Diversity and Inclusivity Committee",1624460400,60,
symposiumhall3,Navigating academic careers: What are our options and how can we reach our goals?,"Roundtable, Student and Postdoc SIG Workshop 4, Speaker: Mariam Aly",1624460400,60,wqAndVrBmmGgrneadZ49
symposiumhall4,Getting the incentives right: Rethinking how we define academic success,"Roundtable, Student and Postdoc SIG Workshop 3, Speaker: Cooper Smout",1624460400,60,
loungetables,Open Disucssions,Roundtable,1624460400,60,
symposiumhall1,"Transitioning from academia to industry: Why, when, how and where?","Roundtable, Student and Postdoc SIG Workshop 1, Speaker: Bimal Lakhani",1624489200,60,qhwDVUMxj1c8tlMFKyDR
symposiumhall3,"Neuroimaging best practices beyond open science: Ethics, collaborations and high quality research","Roundtable, Student and Postdoc SIG Workshop 2, Speaker: Satra Ghosh",1624489200,60,
symposiumhall2,Faliure Five Ways Roundtable,Roundtable,1624489200,60,ngRTzt9XFT1qyI5Jn79E
loungetables,Open Disucssions,Roundtable,1624489200,60,
symposiumhall1,Diversity Roundtable,Roundtable,1624546800,60,OW5rRYJZGUrWbGxg8t4w
symposiumhall2,Aperture & Open Science Roundtable,Roundtable,1624546800,60,wxW8B28A4nEwdilp5Bdg
symposiumhall3,Kidz Live Review - Portuguese,"Roundtable, Speaker: Maria Ribeiro, Moderator: Diversity and Inclusivity Committee",1624546800,60,
symposiumhall4,Kidz Live Review - Spanish,"Roundtable, Speaker: Eduardo Garza-Villarreal, Moderator: Diversity and Inclusivity Committee",1624546800,60,
loungetables,Open Disucssions,Roundtable,1624546800,60,
symposiumhall1,Glass Brain Interview,Roundtable,1624575600,60,GjyKr8pqpRlRBE8I8wll
symposiumhall2,OHBM Leadership Open House,Roundtable,1624575600,60,k4acHOJOIe581589BVVd
loungetables,Open Disucssions,Roundtable,1624575600,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624287600,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624316400,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624374000,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624402800,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624460400,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624489200,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624546800,60,
exhibithall,Exhibitors Hour,Exhibitors Hour,1624575600,60,
loungetables,Fun with the SEA-SIG,Social,1624467600,60,
loungetables,Fun with the SEA-SIG (TBC),Social,1624496400,60,
symposiumhall4,Research Funding Roundtable,"Roundtable, Speaker: Ken Whang, Almut Kelber, Paweł Świeboda, Marlène Bartes, John Ngai, Moderator: Nicola Palomero-Gallagher",1624374000,60,
symposiumhall3,Research Funding Roundtable,"Roundtable, Speaker: Ken Whang, John Ngai, Tetsuya Matsuda, Moderator: Hiromasa Takemura",1624575600,60,
mainauditorium,The OHBM conference model post COVID: what should it look like?,"Roundtable, Sustainability and Environment Action SIG",1624546800,60,
symposiumhall4,The OHBM conference model post COVID: what should it look like?,"Roundtable, Sustainability and Environment Action SIG",1624575600,60,
