Title,Speaker,Moderator,Description,Date Start,Time Start,Date End,Time End,Location,Room,TimeZoneBlock,Categories,UID,EVENTID
Disorders of the Nervous System - Neurodegenerative/Late Life,TBD,,,20210623,0,20210623,3000,posterhighlights3,Poster Highlights Room 3,Americas/Asia/Australia,Poster Highlights,59797768-aeb4-11eb-ae4a-1e00b921e125,d9522dc0cca911ebbf80
Novel Imaging Acquisition Methods,TBD,,,20210623,0,20210623,3000,posterhighlights4,Poster Highlights Room 4,Americas/Asia/Australia,Poster Highlights,59797e68-aeb4-11eb-8e55-1e00b921e125,d95288bacca911ebb062
fNIRS - do I need short channels and what do I gain from adding physiology?,Dr. Jeremy Burnison,,,20210623,10000,20210623,20000,boothnirx,"NIRx Medical Technologies, LLC",Americas/Asia/Australia,Exhibitors Hour,ae60d4a6-cca2-11eb-a094-1e00b921e125,d952e36ecca911eb9c3b
Exhibitors Hour,Exhibitors,Student/Postdoc Special-Interest-Group,,20210623,10000,20210623,20000,exhibithall,Exhibit Hall,Americas/Asia/Australia,Exhibitors Hour,597e18c6-aeb4-11eb-ae72-1e00b921e125,d9533e5ecca911ebb895
Open Disucssions,Everyone,,,20210623,10000,20210623,20000,roundtables,Roundtables,Americas/Asia/Australia,Roundtable,6e7ff264-b207-11eb-8fb3-1e00b921e125,d9539adecca911eb96aa
Open Science and Publishing,TBD,Peter Bandettini & JB Poline,Organized by Aperture and the Open Science SIG,20210623,10000,20210623,20000,symposiumhall1,Symposium Hall 1,Americas/Asia/Australia,Roundtable,597dd762-aeb4-11eb-9e63-1e00b921e125,d953f650cca911ebaa7a
Chinese Young Scholars,"Ying Han, Jiang Qiu, Sha Tao, Chao-Gan Yan, Chun-Shui Yu, Yu-Feng Zang, Zhan-Jun Zhang, Xi-Nian Zuo",Chao-Gan Yan,,20210623,10000,20210623,20000,symposiumhall2,Symposium Hall 2,Americas/Asia/Australia,Roundtable,597db488-aeb4-11eb-82e0-1e00b921e125,d9545186cca911eba945
Student/Postdoc SIG Party,Student/Postdoc Special-Interest-Group,,,20210623,20000,20210623,40000,loungetables,Social Lounge,Americas/Asia/Australia,Social,597d077a-aeb4-11eb-86fd-1e00b921e125,d954acb4cca911eba3bd
Announcements,Aina Puce,,Early Career Investigator Award\n  Fellows,20210623,140000,20210623,141000,mainauditorium,Main Auditorium,Africa/Americas/Europe,Announcements,597d38be-aeb4-11eb-b729-1e00b921e125,d9550858cca911eba947
Neurodevelopment of the Association Cortices: Normative Patterns and Implications for Psychopathology,Ted Satterthwaite,Mallar Chakravarty,,20210623,141000,20210623,150000,mainauditorium,Main Auditorium,Africa/Americas/Europe,Keynote,59768e62-aeb4-11eb-9898-1e00b921e125,d9556724cca911eb8fa1
"Communication in brain networks: models, mechanisms, and applications",TBA,TBA,,20210623,151000,20210623,160000,symposiumhall1,Symposium Hall 1,Africa/Americas/Europe,Symposium,59789692-aeb4-11eb-9f9e-1e00b921e125,d955c200cca911eb995e
Innovations in Multimodal Data Fusion and Data-Driven Discovery in Population Neuroimaging,TBA,TBA,,20210623,151000,20210623,160000,symposiumhall2,Symposium Hall 2,Africa/Americas/Europe,Symposium,59789cd2-aeb4-11eb-8780-1e00b921e125,d9561bf6cca911ebbf62
Emerging research in infant neuroimaging: a Fit'ng overview,TBA,TBA,,20210623,151000,20210623,160000,symposiumhall3,Symposium Hall 3,Africa/Americas/Europe,Symposium,5978a312-aeb4-11eb-89a6-1e00b921e125,d95674e8cca911eba18b
Spatio-temporal brain dynamics across consciousness levels in clinical and healthy populations,TBA,TBA,,20210623,151000,20210623,160000,symposiumhall4,Symposium Hall 4,Africa/Americas/Europe,Symposium,5978a9a2-aeb4-11eb-a218-1e00b921e125,d956ce52cca911ebbc1e
"Social Neuroscience, Emotion and Motivation",Poster Presenters,,,20210623,160000,20210623,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597a7158-aeb4-11eb-80ef-1e00b921e125,d9572712cca911ebb4e4
Neuroinformatics and Data Sharing,Poster Presenters,,,20210623,160000,20210623,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597ad5b0-aeb4-11eb-904d-1e00b921e125,d9577fb4cca911eb8e4f
Disorders of the Nervous System - Psychiatric,Poster Presenters,,,20210623,160000,20210623,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597ae4ec-aeb4-11eb-bb0f-1e00b921e125,d957d900cca911eb88d8
Neuroanatomy,Poster Presenters,,,20210623,160000,20210623,170000,posterhall,Poster Hall,Africa/Americas/Europe,Posters,597aeeba-aeb4-11eb-b231-1e00b921e125,d95831f4cca911ebb1e5
"Social Neuroscience, Emotion and Motivation",TBD,,,20210623,160000,20210623,163000,posterhighlights1,Poster Highlights Room 1,Africa/Americas/Europe,Poster Highlights,5978ca90-aeb4-11eb-bd0e-1e00b921e125,d9588adacca911eba8ef
Neuroinformatics and Data Sharing,TBD,,,20210623,160000,20210623,163000,posterhighlights2,Poster Highlights Room 2,Africa/Americas/Europe,Poster Highlights,59790598-aeb4-11eb-a793-1e00b921e125,d958e39acca911ebae96
Disorders of the Nervous System - Psychiatric,TBD,,,20210623,160000,20210623,163000,posterhighlights3,Poster Highlights Room 3,Africa/Americas/Europe,Poster Highlights,59790be2-aeb4-11eb-90cf-1e00b921e125,d9593c28cca911ebb3b5
Neuroanatomy,TBD,,,20210623,160000,20210623,163000,posterhighlights4,Poster Highlights Room 4,Africa/Americas/Europe,Poster Highlights,5979123e-aeb4-11eb-b78c-1e00b921e125,d95994accca911ebab03
